loanee_id,name,age,gender,amount_borrowed,date_borrowed,expected_repayment_date,date_repaid,amount_to_be_repaid,employment_status,income,credit_score,loan_purpose,loan_type,interest_rate,loan_term,address,city,state,zip_code,country,email,phone_number,marital_status,dependents,education_level,employer,job_title,years_employed
1202,Marc James,51,Male,88384.84,2023-08-06,2028-09-08,,98991.02,Self-employed,63820.6,722,Personal,Unsecured,0.12,54,"USCGC Sims, FPO AA 05733",North Jonathan,AK,59620,USA,kurt98@example.org,(462)821-6120x9927,Divorced,1,Doctorate,Baker LLC,"Conservation officer, historic buildings",5
1203,Omar Clark,60,Male,41034.8,2023-10-14,2026-05-22,,46369.324,Unemployed,91297.01,527,Home,Secured,0.13,26,"8760 Stephanie Alley Suite 393, Pearsonview, MA 18945",Sharonside,NH,49508,USA,opadilla@example.net,831.543.2421,Widowed,2,Doctorate,"Turner, Barnes and Snyder",Armed forces logistics/support/administrative officer,11
1204,Suzanne Glenn,19,Female,34605.05,2024-03-01,2027-08-15,"2027-08-1519 days, 0:00:00",39449.758,Self-employed,86819.21,593,Home,Unsecured,0.14,41,"9732 Villegas Route, Merrittville, CT 40027",Kathyton,NE,79977,USA,phillipskimberly@example.net,217-498-2335,Divorced,2,Doctorate,Lynch Inc,"Civil engineer, consulting",0
1205,Dr. Anna Clarke,52,Female,1260.9,2023-09-18,2025-11-23,,1437.426,Unemployed,77519.62,792,Home,Unsecured,0.14,20,"1005 Kathryn Fields, East Susanberg, NE 21858",New Robert,MN,51269,USA,chadcurtis@example.org,(446)568-5227x500,Widowed,2,Bachelor,Mendez-Cochran,Fisheries officer,18
1206,Allison Ruiz,57,Female,32393.39,2023-11-02,2027-11-13,"2027-11-1328 days, 0:00:00",38872.066,Unemployed,87405.44,709,Home,Secured,0.2,44,"72572 Thomas Place, South David, SC 89082",East Barbara,NC,52619,USA,samanthamahoney@example.com,756.858.2149,Widowed,3,High School,Jackson Group,Horticultural therapist,11
1207,Sherry Mullins,27,Female,97412.04,2023-06-03,2025-12-23,"2025-12-233 days, 0:00:00",112997.97,Employed,53380.06,637,Home,Secured,0.16,21,"340 Ryan Island Suite 502, Daniellefort, VA 10077",Lake Samantha,RI,04419,USA,ericawagner@example.com,833.364.1726,Single,5,Doctorate,Hooper-Brown,"Horticulturist, commercial",5
1208,Charles Fisher,49,Male,18079.52,2023-11-02,2027-07-16,"2027-07-165 days, 0:00:00",21514.629,Unemployed,97231.2,748,Business,Unsecured,0.19,40,"296 Cheryl Views Apt. 624, Jeffreymouth, SC 96151",New Jasmin,WV,06518,USA,glynch@example.org,+1-851-664-2149,Single,3,High School,Castro-Lewis,Retail merchandiser,10
1209,David Christensen,61,Female,25155.7,2024-02-04,2026-01-22,"2026-01-2221 days, 0:00:00",29683.727,Employed,34437.21,728,Personal,Secured,0.18,22,"3967 Winters Street Apt. 684, Garciaville, NV 91009",Davidfort,KY,86094,USA,dawsoncharles@example.net,348.652.9788x507,Divorced,1,High School,Evans-Mora,"Nurse, mental health",16
1210,John Hoffman,50,Female,6161.42,2023-07-12,2028-08-09,,6777.562,Employed,43507.98,615,Home,Unsecured,0.1,53,"7233 Good Groves Apt. 443, Port Michaelachester, MP 03149",Reidberg,MN,30633,USA,wlynch@example.org,(451)444-2796,Widowed,1,Bachelor,Williams-West,Media buyer,15
1211,Stacy Monroe,44,Female,11677.91,2024-03-01,2025-09-24,"2025-09-2410 days, 0:00:00",13196.038,Employed,92884.36,668,Home,Secured,0.13,18,"Unit 3928 Box 2743, DPO AE 29450",Andrewmouth,CT,22626,USA,lawrence86@example.com,287.664.9485x953,Single,4,High School,Mcclain-Wilson,Charity fundraiser,7
1212,Brady Gaines,50,Female,11863.81,2023-10-09,2027-07-16,"2027-07-1622 days, 0:00:00",14236.572,Self-employed,83262.37,720,Education,Secured,0.2,40,"36719 Ellen Mission Suite 249, North Kevin, LA 56346",Lake Kevinhaven,CA,75219,USA,victoriapatel@example.net,+1-549-859-5762x771,Married,1,Bachelor,Mcdowell and Sons,Phytotherapist,0
1213,Katherine Webb,58,Female,20592.3,2024-02-20,2028-11-07,,24298.914,Employed,61703.55,648,Business,Secured,0.18,56,"378 Haas Oval, Lake Williamfurt, IN 01156",Waynehaven,SC,37713,USA,barbaraperez@example.net,854.243.0595,Married,3,Doctorate,Golden-Pena,Newspaper journalist,7
1214,Peggy Gordon,34,Female,85175.94,2023-08-18,2029-03-07,"2029-03-07-8 days, 0:00:00",97100.57,Unemployed,22390.4,745,Business,Secured,0.14,60,"PSC 2721, Box 1753, APO AE 57673",Simstown,PR,33798,USA,wilkinsonphillip@example.net,+1-633-857-8440x99770,Widowed,3,High School,Stout and Sons,General practice doctor,19
1215,Jordan Palmer,48,Male,78322.0,2023-04-17,2026-07-21,"2026-07-2117 days, 0:00:00",88503.86,Unemployed,52920.71,676,Personal,Secured,0.13,28,"559 Randall Tunnel, North Thomasburgh, AS 82237",Martinport,MI,16895,USA,nevans@example.net,+1-684-779-8928x585,Married,0,High School,Collins-Williams,IT consultant,8
1216,Mark Bishop,52,Male,60003.39,2023-06-24,2026-09-19,"2026-09-19-24 days, 0:00:00",69603.93,Employed,35755.31,685,Personal,Secured,0.16,30,"05345 Peter View, Lauratown, IA 44509",South Christopherfurt,AZ,90722,USA,qhale@example.org,452.977.4198x34572,Divorced,0,High School,Warner-Wallace,Colour technologist,3
1217,Jenna Stephens,53,Female,51172.36,2023-04-17,2025-12-23,"2025-12-23-17 days, 0:00:00",59359.938,Unemployed,46279.74,733,Education,Unsecured,0.16,21,"980 Gonzales Forks, Port Jasonmouth, OK 60855",Jeffreyborough,AS,09855,USA,joshuaruiz@example.net,2314628616,Widowed,5,Master,"Baldwin, Patterson and Gonzalez",Accommodation manager,9
1218,Nicholas Bennett,63,Female,46145.58,2024-03-27,2025-06-26,"2025-06-26-3 days, 0:00:00",53067.418,Unemployed,92663.14,782,Personal,Secured,0.15,15,"2049 Karen Plaza, Archerport, VI 52828",Peterchester,NE,34894,USA,terrymatthew@example.org,+1-671-527-8306,Divorced,5,High School,Hodge-Johnson,Financial controller,17
1219,John Goodman,31,Female,3583.24,2024-03-15,2028-12-07,"2028-12-07-22 days, 0:00:00",3941.564,Employed,60104.8,627,Education,Secured,0.1,57,"3760 Linda Lane Suite 592, Port Kimberlytown, SD 76381",Port Brianna,SC,22773,USA,thomasgregory@example.org,9826173705,Widowed,3,Doctorate,Jacobs-Burns,Ambulance person,14
1220,Andrew Kidd,20,Male,57135.43,2024-03-30,2025-03-28,"2025-03-28-26 days, 0:00:00",65134.39,Employed,93333.47,765,Business,Unsecured,0.14,12,"98188 Jennifer Rest Suite 016, North Debbieview, NH 53845",New Jenny,MI,14916,USA,burchmichael@example.com,(237)994-5514x87602,Divorced,5,Doctorate,"Cook, Murphy and Hayes",Call centre manager,15
1221,Sean Adams,40,Male,82325.4,2023-08-26,2028-05-11,,90557.94,Employed,45876.23,845,Business,Secured,0.1,50,"Unit 4835 Box 3415, DPO AP 01736",South Lawrencebury,MH,55083,USA,claudiathomas@example.net,8835510231,Divorced,4,Doctorate,"Leonard, Atkins and Lynch",Environmental consultant,20
1222,Anna Downs,30,Female,92645.76,2024-03-13,2027-08-15,,102836.8,Self-employed,68518.63,773,Home,Secured,0.11,41,"525 Smith Crossing Suite 526, Martinezfort, FL 29394",Kramerbury,MH,92912,USA,valerie26@example.com,2483207520,Widowed,3,Master,Adams-Preston,Air cabin crew,12
1223,Terry Smith,21,Male,80402.46,2023-09-17,2028-11-07,"2028-11-07-3 days, 0:00:00",90050.76,Self-employed,53386.97,781,Business,Unsecured,0.12,56,"281 Adams Gateway Suite 697, Castroland, FL 83724",East Jeffreybury,WY,38585,USA,zanderson@example.org,323-590-2971,Divorced,1,Master,Hubbard-Figueroa,Financial controller,11
1224,Jonathan Long,19,Male,24141.15,2023-05-04,2025-08-25,"2025-08-25-25 days, 0:00:00",27279.5,Employed,74869.0,669,Home,Unsecured,0.13,17,"14038 Michael Keys, New Thomas, MT 02257",Lake Jeffrey,MI,01341,USA,sarahsandoval@example.net,642-917-0673x32915,Widowed,2,Master,Alvarez-Reed,"Engineer, biomedical",14
1225,Danielle Joseph,18,Female,93829.62,2024-02-04,2027-06-16,"2027-06-1616 days, 0:00:00",106965.766,Employed,72560.47,574,Home,Secured,0.14,39,"41084 Richard Motorway, East Cindy, OH 15025",North Joshuahaven,VT,09253,USA,emilycarlson@example.com,(229)932-1244,Widowed,5,Doctorate,"Molina, Hines and Johnson",Secondary school teacher,13
1226,Amy Pierce DDS,61,Male,51668.46,2024-01-01,2025-12-23,"2025-12-23-24 days, 0:00:00",56835.305,Employed,38125.22,513,Education,Secured,0.1,21,"882 Benjamin Prairie Apt. 754, West Joyce, IL 26587",East Raymond,KS,65910,USA,rodriguezsara@example.net,257-357-0955,Single,1,Master,"Morales, Morales and Faulkner","Psychotherapist, dance movement",14
1227,Alyssa Hampton,28,Female,86370.47,2023-09-11,2026-12-18,,96734.93,Employed,65930.16,756,Business,Unsecured,0.12,33,"88185 Kathleen Parks Suite 325, North Julian, MN 77252",Morrismouth,VA,17276,USA,pbrown@example.com,3129995681,Widowed,1,Master,"Padilla, Walker and Gallagher",Diplomatic Services operational officer,3
1228,Kyle Wright,41,Male,43594.21,2024-03-30,2027-06-16,"2027-06-16-19 days, 0:00:00",51877.11,Employed,69552.86,631,Home,Secured,0.19,39,"9786 Christian Plaza Apt. 911, Jamesfort, PW 73148",Port Kiaramouth,NE,15457,USA,beltranangela@example.net,001-583-209-4186x894,Widowed,3,High School,"Koch, Guzman and George",Accommodation manager,19
1229,Brandi Smith,37,Male,46989.1,2023-08-08,2028-03-12,"2028-03-129 days, 0:00:00",53097.684,Unemployed,59460.55,763,Home,Unsecured,0.13,48,"017 Gregory Drive, North Margarethaven, RI 44270",Lloydtown,LA,89102,USA,brucerodgers@example.com,(693)266-4358x127,Married,5,Bachelor,Vasquez Ltd,Lawyer,14
1230,Wendy Howell,45,Female,77317.26,2024-02-06,2027-02-16,"2027-02-16-18 days, 0:00:00",92007.54,Unemployed,57371.49,589,Education,Unsecured,0.19,35,"41189 Peterson Track, Jerryborough, OR 24403",Lake Alexandra,OH,81145,USA,aeverett@example.net,868-258-0939,Single,4,Doctorate,Gomez Inc,Corporate treasurer,5
1231,Henry May,53,Male,3662.64,2024-01-04,2026-11-18,,4028.904,Unemployed,39984.51,623,Education,Unsecured,0.1,32,"71778 Blake Creek, East Joseph, PA 11572",Lake Brandy,MA,04370,USA,amandawilliams@example.com,+1-284-700-0813x39910,Widowed,4,Master,"Collier, Martinez and Frye",Housing manager/officer,8
1232,Aaron Sanders,26,Female,98843.07,2023-11-17,2025-10-24,"2025-10-249 days, 0:00:00",118611.69,Employed,39410.1,743,Business,Secured,0.2,19,"9911 Harrington Mills, East Christopherchester, UT 66110",New Samantha,MH,82414,USA,monique44@example.org,995-252-2580,Married,0,Doctorate,Johnson-Dominguez,Games developer,4
1233,Marissa Perez,19,Male,14786.85,2023-06-23,2028-01-12,"2028-01-12-18 days, 0:00:00",16709.14,Self-employed,43045.29,555,Home,Secured,0.13,46,"97304 Heather Mission, West Kathleen, VA 09102",Whiteview,PR,25323,USA,wrightpatrick@example.net,001-584-823-2790x678,Divorced,3,Bachelor,Taylor and Sons,"Scientist, forensic",12
1234,Alejandro Ayala,39,Female,17395.76,2024-02-26,2026-06-21,"2026-06-2120 days, 0:00:00",19483.252,Unemployed,53692.9,583,Business,Unsecured,0.12,27,"831 Smith Walk, South Timbury, AL 21341",Hernandezfurt,MS,44724,USA,fhall@example.com,001-763-862-1150x22277,Married,1,High School,Walker-Rodriguez,Air cabin crew,14
1235,Michael Santiago,50,Male,22265.66,2023-08-11,2025-07-26,,26273.479,Self-employed,26425.35,515,Personal,Secured,0.18,16,"01976 Obrien Spur, Kellyshire, GA 80541",Swansonshire,RI,41893,USA,mariamurray@example.net,+1-908-418-3078x07329,Married,3,High School,Paul PLC,"Engineer, manufacturing",2
1236,Christopher Kirby,55,Female,64375.42,2024-01-31,2026-02-21,"2026-02-21-16 days, 0:00:00",75319.24,Self-employed,26431.83,692,Home,Secured,0.17,23,"13295 Vaughn Parkway, Banksborough, MI 47556",Jenniferside,KY,65268,USA,phillipsryan@example.com,634-792-2821,Widowed,2,Master,"Gillespie, Campbell and Hughes",Local government officer,1
1237,James Calhoun,27,Female,60523.03,2023-04-05,2025-03-28,"2025-03-28-1 day, 0:00:00",68996.26,Self-employed,74822.05,787,Business,Unsecured,0.14,12,"52129 Thomas Freeway Suite 170, Emilyberg, WA 45243",South Ian,HI,84158,USA,nguyenjessica@example.net,836.637.7361x718,Divorced,2,High School,Carroll and Sons,Media planner,6
1238,Donald Knight,36,Male,53538.66,2023-05-12,2028-08-09,"2028-08-09-9 days, 0:00:00",60498.688,Unemployed,99310.12,798,Personal,Unsecured,0.13,53,"129 Annette Rapids Suite 657, Zacharyville, NE 10716",Valdezbury,VT,03682,USA,erica35@example.net,+1-304-308-8075x255,Married,2,Doctorate,"Jones, Goodwin and Smith",Magazine journalist,0
1239,Donald Huang,52,Female,48847.53,2023-05-03,2026-12-18,"2026-12-18-15 days, 0:00:00",56663.137,Unemployed,30902.15,734,Business,Secured,0.16,33,"195 Nelson Cape Suite 442, Port Victoriafort, NE 25505",South Tracyberg,KY,79920,USA,fwong@example.com,238-814-2050x778,Single,5,High School,Powell-Garza,Catering manager,0
1240,Eric Gray,54,Female,40435.79,2023-09-15,2028-05-11,"2028-05-11-6 days, 0:00:00",48118.59,Employed,38365.24,712,Personal,Secured,0.19,50,"380 Pennington Groves Apt. 557, Jessicamouth, WA 44919",Donnamouth,WI,99201,USA,tammystewart@example.net,(524)393-6130,Widowed,4,Bachelor,Hicks and Sons,Records manager,9
1241,Robert Parrish,50,Male,4220.75,2023-10-04,2026-08-20,,4642.825,Unemployed,56886.13,541,Personal,Secured,0.1,29,"377 Dickson Crossing Apt. 489, Smithfurt, MS 45452",West Brian,OR,61974,USA,snyderdiane@example.net,6646894472,Married,2,High School,Perez-Jackson,"Surveyor, rural practice",11
1242,Allison Mooney,56,Female,11526.34,2023-04-27,2027-08-15,"2027-08-153 days, 0:00:00",12909.501,Unemployed,63528.82,612,Business,Unsecured,0.12,41,"2664 Welch Groves, Melissaborough, NM 59836",New John,MH,88070,USA,danafrost@example.org,459-822-5868,Divorced,0,Doctorate,"Taylor, Williams and Beasley",Database administrator,0
1243,Omar Wright,56,Female,21141.37,2024-02-26,2027-10-14,"2027-10-145 days, 0:00:00",24946.816,Employed,25402.58,609,Education,Secured,0.18,43,"41959 Warren Spur, North Cathy, FM 98803",Smithberg,PW,65202,USA,patriciagordon@example.com,(590)201-8514x004,Single,3,Master,"Mills, Booth and Chan","Therapist, speech and language",8
1244,Tina Hayes,49,Male,95707.13,2023-12-03,2028-05-11,"2028-05-113 days, 0:00:00",106234.914,Employed,46332.73,529,Business,Unsecured,0.11,50,"331 Louis Well Suite 927, Monroeport, PR 02358",Smithhaven,KS,28540,USA,mfinley@example.net,289-988-1856x21853,Divorced,5,Master,Cox PLC,Politician's assistant,13
1245,Benjamin Clark III,51,Male,78252.84,2024-02-08,2026-03-23,,93120.88,Self-employed,92081.74,600,Personal,Secured,0.19,24,"53362 Herrera Streets, South Jacob, LA 74207",Robinsonhaven,GA,95133,USA,danielbullock@example.net,001-737-303-1312x2645,Divorced,1,High School,Todd-Bennett,IT consultant,13
1246,Michele Burke,40,Male,75176.32,2023-09-20,2025-07-26,,84949.24,Unemployed,31306.05,649,Home,Secured,0.13,16,"37099 Julia Land, Kerrbury, DC 51015",Tracyport,SD,20099,USA,allen09@example.net,7464783875,Married,1,Master,Marsh-Grant,Magazine journalist,9
1247,Sean Jones Jr.,46,Male,54821.78,2023-10-23,2026-11-18,"2026-11-1826 days, 0:00:00",60852.176,Self-employed,46628.86,793,Education,Unsecured,0.11,32,"2319 Wolfe Pine Suite 371, Frankmouth, OH 87368",Evanburgh,DC,32659,USA,allenelizabeth@example.org,938.906.9520x25845,Divorced,0,High School,Middleton Ltd,Oceanographer,19
1248,Amy Miles,23,Female,39640.17,2024-01-08,2028-07-10,"2028-07-10-19 days, 0:00:00",45586.195,Self-employed,33879.0,752,Education,Secured,0.15,52,"554 Stevens Islands Suite 964, Elizabethview, OR 25823",New Kevin,IA,52960,USA,davisjames@example.com,341.472.1276x857,Divorced,1,High School,Saunders and Sons,Oncologist,6
1249,Kaitlyn Stewart,29,Male,7496.35,2023-04-28,2028-03-12,"2028-03-12-10 days, 0:00:00",8845.693,Self-employed,39684.19,572,Home,Secured,0.18,48,"5757 Rebecca Port Suite 452, West Taylorburgh, NH 17841",Karenshire,FL,62371,USA,qcruz@example.org,001-480-423-1932,Divorced,2,High School,Coleman Group,Politician's assistant,8
1250,Steven Scott,35,Female,90783.65,2024-02-07,2026-06-21,"2026-06-2112 days, 0:00:00",108940.38,Self-employed,35813.46,731,Personal,Unsecured,0.2,27,"524 Perry Stream, Patriciamouth, PR 59128",Hudsonburgh,MT,06295,USA,luis43@example.net,731-929-3466x6921,Single,4,Master,Reilly Inc,Prison officer,3
1251,Joel Potts,56,Female,38977.24,2023-11-10,2026-02-21,"2026-02-2115 days, 0:00:00",44434.055,Unemployed,65567.6,756,Education,Unsecured,0.14,23,"2174 Schmidt Summit, Meltonport, FM 82079",Fordfurt,UT,67073,USA,kristen63@example.org,001-971-345-4900,Married,3,Doctorate,Taylor Group,"Therapist, music",7
1252,Chris Clark,25,Male,53453.05,2023-09-07,2026-11-18,,62540.07,Self-employed,27789.53,564,Education,Unsecured,0.17,32,"1127 Jimmy Cliff Suite 892, Theresatown, WI 61160",East Tracyhaven,AZ,31495,USA,curtislong@example.org,450.776.6701x5371,Married,3,Master,Morgan-Rice,"Clinical scientist, histocompatibility and immunogenetics",2
1253,Gilbert Morgan,48,Male,55759.52,2023-12-09,2026-11-18,"2026-11-1826 days, 0:00:00",63008.258,Self-employed,78178.88,673,Education,Secured,0.13,32,"9775 Stewart Valleys, Garnertown, MD 62116",Sullivanchester,GA,79246,USA,lisadonovan@example.com,764-435-4014x589,Married,3,Bachelor,Burke-Nguyen,Holiday representative,20
1254,Tiffany Singh,60,Female,49979.65,2024-01-07,2029-01-06,"2029-01-06-6 days, 0:00:00",55477.41,Employed,96556.14,606,Education,Unsecured,0.11,58,"2898 Simpson Underpass Apt. 451, Lake Heidi, MO 61659",Christopherborough,RI,05486,USA,michael44@example.net,741-401-1738x22731,Divorced,3,Master,Roberts-Small,Hotel manager,2
1255,Stacy Parker,29,Female,70408.45,2024-03-12,2025-03-28,,84490.14,Unemployed,22586.82,510,Business,Unsecured,0.2,12,"402 Garner Dale Suite 111, Jodiborough, NC 37129",Port Andrew,PR,44050,USA,troy45@example.com,766.312.9280x5517,Widowed,2,Doctorate,"Joseph, Fowler and Hernandez",Rural practice surveyor,9
1256,Robin Bauer,57,Female,88483.22,2024-02-10,2026-05-22,"2026-05-2220 days, 0:00:00",102640.54,Employed,56486.55,506,Business,Secured,0.16,26,"3564 Jackson Key, Port Mary, NC 26148",Timothyport,PA,12184,USA,heidijohnson@example.net,(459)431-3601x9930,Single,3,High School,"Lewis, Petersen and Kramer",General practice doctor,12
1257,Larry Robinson,24,Female,28060.63,2023-07-04,2028-02-11,,32269.725,Unemployed,99581.33,630,Education,Unsecured,0.15,47,"6149 Brian Drive, Thomasville, MD 03940",Port Victoriamouth,CA,35887,USA,reginamoore@example.net,494-687-7670x4733,Widowed,2,Doctorate,Hunt Inc,Radio producer,20
1258,Joseph Chapman DDS,22,Female,24602.91,2023-08-12,2027-10-14,"2027-10-1425 days, 0:00:00",29277.463,Unemployed,77372.17,632,Business,Secured,0.19,43,"5463 Tracey Shoal, Michellebury, NJ 67203",South Jeremy,MO,51402,USA,bradjarvis@example.net,8008716213,Single,3,Bachelor,Sexton Group,Fisheries officer,4
1259,Courtney Jensen,24,Male,3680.77,2023-07-05,2027-10-14,"2027-10-1418 days, 0:00:00",4122.4624,Employed,87273.78,640,Business,Secured,0.12,43,"99001 Jones Isle Suite 982, Davidberg, LA 84048",Garciashire,GU,89339,USA,cjones@example.org,+1-713-246-7358x2272,Married,0,Doctorate,Wright-Drake,Licensed conveyancer,2
1260,Marissa Roy,50,Male,5348.93,2023-04-20,2025-04-27,,5990.802,Employed,38896.48,533,Business,Secured,0.12,13,"198 Baker Shoal, Victormouth, AR 72225",Thomasbury,ME,83263,USA,nguyenyvonne@example.com,+1-655-205-9827x494,Divorced,0,High School,Phillips-Simpson,Theatre manager,3
1261,Jordan Jordan,58,Male,6330.23,2023-12-11,2028-01-12,"2028-01-122 days, 0:00:00",7343.067,Unemployed,25897.12,671,Home,Unsecured,0.16,46,"PSC 4609, Box 5183, APO AE 94613",Richardbury,GU,72309,USA,arnoldvictoria@example.org,+1-806-510-3894,Single,2,Doctorate,"Lambert, Jones and Gray",Glass blower/designer,3
1262,Edward Ruiz,26,Male,28118.47,2023-09-20,2028-06-10,,33179.793,Employed,25088.67,632,Home,Unsecured,0.18,51,"25174 Guerrero Hills Apt. 437, North Josephport, WA 78536",West Scottside,ID,58665,USA,robert65@example.org,4972123338,Widowed,3,Master,Doyle Inc,Environmental health practitioner,14
1263,Phillip Rodriguez DDS,22,Male,69633.56,2023-12-14,2028-11-07,"2028-11-07-29 days, 0:00:00",79382.26,Employed,36001.65,561,Education,Secured,0.14,56,"USNV Carter, FPO AA 24250",Victoriamouth,AS,28821,USA,nguyenchristopher@example.org,(389)775-2638x0583,Single,4,Doctorate,"Munoz, Villanueva and Pena","Scientist, product/process development",1
1264,Heather Michael,50,Male,22989.15,2024-01-11,2025-05-27,,27586.98,Self-employed,31249.3,644,Personal,Secured,0.2,14,"PSC 5576, Box 0879, APO AA 97161",Lake Melissaside,VT,38880,USA,dlamb@example.com,2199643296,Widowed,1,Bachelor,Weaver-Garcia,"Surveyor, building control",8
1265,Kevin Hale,23,Female,77010.65,2023-04-22,2028-01-12,"2028-01-12-27 days, 0:00:00",87792.14,Employed,37539.18,606,Home,Secured,0.14,46,"83326 Donald Forks Apt. 472, West James, DE 78344",Lake Erika,VI,19136,USA,smithrichard@example.net,+1-454-675-9991x351,Single,5,Doctorate,Russell-Baldwin,Soil scientist,2
1266,Nancy Clark,46,Female,51766.28,2023-06-26,2026-03-23,"2026-03-23-11 days, 0:00:00",57978.234,Employed,63454.75,556,Business,Secured,0.12,24,"62053 Curtis Ford, East Loriberg, UT 46269",North Steven,MA,46214,USA,wardpaul@example.org,4673318659,Divorced,5,Bachelor,"Cooke, Walsh and Schwartz",Midwife,6
1267,Mackenzie Oliver,32,Female,10057.94,2023-04-08,2028-04-11,"2028-04-1114 days, 0:00:00",11466.052,Employed,46834.22,537,Personal,Unsecured,0.14,49,"52423 Caroline Vista Apt. 885, West Corey, OR 47012",Millerville,FM,20383,USA,lhicks@example.com,754-951-1416x7546,Married,0,Master,Williams PLC,Facilities manager,1
1268,Gwendolyn Gardner,35,Female,91397.59,2023-10-01,2025-11-23,"2025-11-2325 days, 0:00:00",102365.305,Unemployed,27425.1,629,Education,Unsecured,0.12,20,"92964 Connie Turnpike Suite 204, Smithbury, UT 45870",East Paul,MT,21800,USA,gyoung@example.net,329.271.4469x529,Widowed,4,Master,Reyes Ltd,Heritage manager,19
1269,Sarah Gibson DDS,46,Female,69966.99,2023-08-18,2025-05-27,"2025-05-2722 days, 0:00:00",79062.695,Unemployed,88822.7,536,Home,Unsecured,0.13,14,"34861 Woods Meadows Apt. 683, Port Justinburgh, KS 68690",West Michael,NY,29329,USA,justin86@example.com,001-732-384-1984x4139,Married,2,High School,Davis and Sons,"Solicitor, Scotland",8
1270,Gloria Fry,43,Female,31219.76,2023-08-22,2025-09-24,"2025-09-24-19 days, 0:00:00",35278.33,Employed,88355.68,692,Personal,Unsecured,0.13,18,"Unit 0701 Box 0064, DPO AE 71227",Micheleville,MD,50931,USA,jwatson@example.com,(791)405-6309x92123,Divorced,2,Bachelor,Cook Ltd,Curator,13
1271,Jonathon Novak,53,Male,8361.61,2024-02-02,2025-03-28,,9866.7,Unemployed,95517.34,566,Education,Secured,0.18,12,"Unit 4160 Box 7203, DPO AE 96616",Cherylport,CT,84129,USA,egibson@example.org,321-207-3919x17953,Widowed,3,High School,Noble Group,Wellsite geologist,1
1272,James Bryant,55,Female,19951.5,2023-04-07,2026-04-22,"2026-04-22-12 days, 0:00:00",22545.195,Unemployed,70543.42,693,Home,Secured,0.13,25,"21343 Robert Square, Jenkinsview, OH 78689",West Jamesmouth,PW,96061,USA,sandra72@example.com,6057031146,Single,3,Master,Thompson-Clark,Claims inspector/assessor,2
1273,Susan Stanley,63,Female,73904.74,2024-03-05,2025-03-28,,82034.26,Employed,57376.33,800,Personal,Unsecured,0.11,12,"3658 Emily Ville, New Marychester, ID 58149",South Reneeburgh,NJ,15899,USA,toddstanley@example.net,+1-292-590-2045x286,Widowed,0,Bachelor,"Lawrence, Barron and Mercado",Television production assistant,6
1274,Joshua Patterson,37,Female,80888.7,2024-01-07,2025-04-27,"2025-04-27-14 days, 0:00:00",91404.234,Employed,56569.54,634,Business,Unsecured,0.13,13,"USNV Mcmahon, FPO AE 05358",Port Christinaton,WV,46325,USA,watsonrebekah@example.net,591-469-8357,Single,3,High School,Tucker-Barnett,Production manager,15
1275,Dawn Hall,32,Female,42891.9,2023-04-10,2028-03-12,,49325.684,Self-employed,36182.61,694,Home,Unsecured,0.15,48,"518 Owens Crescent, East Katherineview, MH 10447",Brittanymouth,FL,75277,USA,wheelerjared@example.org,+1-842-635-6553,Widowed,1,High School,Malone PLC,Software engineer,4
1276,William Alexander,44,Female,76762.49,2024-03-04,2027-01-17,"2027-01-17-1 day, 0:00:00",88276.87,Unemployed,44859.73,648,Business,Secured,0.15,34,"41575 Beltran Corners, East Amy, MN 89897",New Lauren,AL,30578,USA,petersonamanda@example.com,+1-264-611-9932,Widowed,0,Master,Velazquez and Sons,Armed forces technical officer,9
1277,Kurt House,51,Female,82192.02,2023-10-07,2027-01-17,"2027-01-172 days, 0:00:00",92055.06,Unemployed,63187.3,745,Business,Secured,0.12,34,"650 Kristin Shoals, East Kimberly, IA 05894",South Wendyhaven,MN,70120,USA,vazquezbrian@example.net,373.980.8007x73228,Single,2,Master,"Jones, Shields and Harding",Television production assistant,13
1278,Jacob Gonzalez,52,Male,10031.43,2024-03-13,2026-10-19,,11937.401,Employed,82444.58,596,Personal,Unsecured,0.19,31,"38632 Coffey Dam, Wellsland, CA 74514",Lake Marcland,NJ,29201,USA,jonathan33@example.org,+1-835-394-6028x13955,Single,5,High School,"Williams, Ritter and Johnson","Pharmacist, community",19
1279,Jacqueline Ruiz,47,Female,22922.0,2024-03-30,2025-12-23,,26360.3,Unemployed,53479.46,679,Business,Unsecured,0.15,21,"85350 Justin Cove Apt. 315, West Wesley, AR 73525",Port Sean,NE,86100,USA,sandrajennings@example.org,+1-462-370-3398x585,Single,5,Bachelor,Sanders LLC,"Therapist, speech and language",17
1280,Ryan Lowe,26,Female,98022.6,2023-08-10,2029-03-07,"2029-03-07-11 days, 0:00:00",110765.54,Self-employed,49759.08,759,Personal,Secured,0.13,60,"8904 Ryan Forest, Brittanyfort, VT 09397",South Julie,WY,72656,USA,nlopez@example.com,3598354193,Married,1,Doctorate,Mills Ltd,Heritage manager,6
1281,Jennifer Pierce,53,Female,25299.23,2024-01-25,2028-01-12,"2028-01-12-2 days, 0:00:00",29600.1,Self-employed,26067.98,685,Business,Secured,0.17,46,"94190 Jeffrey Forge, New Calvin, PR 05879",New Kayla,NE,99436,USA,carterchristopher@example.com,569.352.7620,Single,4,Bachelor,"Coleman, Burns and Ray",Management consultant,18
